opp_id,account_id,owner_id,name,stage,amount,close_date,created_date,lead_source,forecast_category,is_won,is_closed,competitor,loss_reason,days_in_stage,next_step,opportunity_type,created_at
1,739,10,Catalyst Platforms - Platform Deal,Qualification,34676,2025-07-05,2024-10-26,Outbound - SDR,Best Case,False,False,CompetitorD,,48,,New Business,2024-10-26T00:00:00
12,195,5,Quantum Group - New Business,Prospecting,224903,2024-05-22,2023-11-27,Partner Referral,Pipeline,False,False,CompetitorD,,37,,New Business,2023-11-27T00:00:00
1,234,4,Zenith Software - Platform Deal,Negotiation,46814,2023-11-09,2023-06-15,Outbound - SDR,Commit,False,False,,,39,Schedule demo,New Business,2023-06-15T00:00:00
14,331,3,Vertex Holdings - New Business,Proposal,61273,2022-06-23,2021-09-29,Webinar,Best Case,False,False,CompetitorA,,1,,New Business,2021-09-29T00:00:00
15,812,12,Vertex Labs - Platform Deal,Prospecting,160173,2021-08-05,2021-02-16,Inbound - Content,Pipeline,False,False,CompetitorE,,9,,New Business,2021-02-16T00:00:00
16,749,10,Nova Corp - Initial License,Closed Won,121811,2024-12-07,2024-08-06,Product-Led,Closed,True,True,Open Source Alternative,,41,,New Business,2024-08-06T00:00:00
17,737,10,Nova Technologies - Initial License,Closed Lost,106460,2024-12-31,2024-12-21,Inbound - Web,Omitted,False,True,CompetitorB,Timing,25,,New Business,2024-12-21T00:00:00
18,37,6,Global Platforms - Platform Deal,Prospecting,7048,2024-04-24,2023-07-29,Product-Led,Pipeline,False,False,CompetitorA,,42,Technical review,New Business,2023-07-29T00:00:00
19,111,4,Synergy Partners - Initial License,Prospecting,175095,2025-02-25,2024-10-28,Inbound - Web,Pipeline,False,False,CompetitorB,,26,Contract signing,New Business,2024-10-28T00:00:00
20,782,2,Velocity Analytics - Platform Deal,Closed Lost,35788,2022-07-03,2022-03-21,Inbound - Content,Omitted,False,True,CompetitorB,Champion Left,43,,New Business,2022-03-21T00:00:00
21,846,3,Pinnacle Analytics - Platform Deal,Closed Won,73625,2021-10-07,2021-06-11,Webinar,Closed,True,True,,,11,,New Business,2021-06-11T00:00:00
22,493,14,Catalyst Labs - Initial License,Closed Lost,102710,2024-06-18,2023-10-08,Outbound - SDR,Omitted,False,True,CompetitorE,Competitor,59,,New Business,2023-10-08T00:00:00
23,435,14,Catalyst Digital - New Business,Qualification,28508,2024-10-17,2024-06-16,Inbound - Web,Best Case,False,False,CompetitorD,,34,,New Business,2024-06-16T00:00:00
24,396,9,Summit Group - New Business,Proposal,7312,2025-07-08,2024-11-04,Inbound - Web,Best Case,False,False,,,21,Schedule demo,New Business,2024-11-04T00:00:00
25,835,8,Fusion Inc - New Business,Qualification,40680,2023-12-20,2023-07-08,Event,Best Case,False,False,CompetitorE,,44,Executive alignment,New Business,2023-07-08T00:00:00
26,172,5,Zenith Dynamics - New Business,Discovery,1095663,2024-12-14,2024-10-23,Product-Led,Pipeline,False,False,,,34,Reference call,New Business,2024-10-23T00:00:00
27,564,15,Nexus Group - Initial License,Qualification,11995,2025-03-10,2024-11-11,Event,Best Case,False,False,,,1,,New Business,2024-11-11T00:00:00
28,176,1,Pacific Solutions - Platform Deal,Closed Won,23104,2024-12-31,2024-12-25,Partner Referral,Closed,True,True,CompetitorD,,25,,New Business,2024-12-25T00:00:00
29,402,13,Apex Solutions - Platform Deal,Proposal,37651,2024-05-26,2023-11-15,,Best Case,False,False,CompetitorC,,51,POC setup,New Business,2023-11-15T00:00:00
30,515,4,Pacific Dynamics - New Business,Closed Lost,21846,2023-12-18,2023-11-07,Webinar,Omitted,False,True,CompetitorB,Feature Gap,60,,New Business,2023-11-07T00:00:00
31,455,5,Pinnacle Group - Platform Deal,Closed Lost,28621,2022-10-10,2022-06-15,Partner Referral,Omitted,False,True,CompetitorE,Budget Cut,51,,New Business,2022-06-15T00:00:00
32,631,5,Optima Services - Initial License,Closed Lost,14781,2024-06-14,2024-02-09,Outbound - AE,Omitted,False,True,CompetitorC,Price,21,,New Business,2024-02-09T00:00:00
33,182,3,Vertex Holdings - Platform Deal,Closed Won,44810,2024-12-20,2024-07-31,Event,Closed,True,True,,,22,,New Business,2024-07-31T00:00:00
34,123,5,Acme Technologies - Initial License,Qualification,9167,2023-06-17,2023-02-28,Event,Best Case,False,False,CompetitorE,,38,Send proposal,New Business,2023-02-28T00:00:00
35,780,14,Velocity Corp - New Business,Closed Lost,,2024-06-13,2024-01-10,,Omitted,False,True,CompetitorC,Competitor,15,,New Business,2024-01-10T00:00:00
36,767,11,Pinnacle Group - Platform Deal,Proposal,38316,2024-04-11,2023-09-26,Outbound - AE,Best Case,False,False,CompetitorA,,14,Contract signing,New Business,2023-09-26T00:00:00
37,608,2,Acme Systems - Platform Deal,Qualification,248242,2023-03-03,2023-01-22,Product-Led,Best Case,False,False,CompetitorC,,2,,New Business,2023-01-22T00:00:00
38,562,3,Horizon Services - Platform Deal,Qualification,27132,2024-08-25,2024-07-23,Product-Led,Best Case,False,False,CompetitorA,,3,,New Business,2024-07-23T00:00:00
1,114,13,Pacific Technologies - New Business,Prospecting,95906,2025-01-16,2024-12-14,Inbound - Content,Pipeline,False,False,,,11,POC setup,New Business,2024-12-14T00:00:00
40,649,14,Catalyst Analytics - Platform Deal,Closed Lost,132352,2023-07-25,2022-12-23,Outbound - AE,Omitted,False,True,,Lost to Status Quo,14,,New Business,2022-12-23T00:00:00
41,597,13,Zenith Networks - Platform Deal,Prospecting,21959,2023-12-05,2023-06-26,Outbound - SDR,Pipeline,False,False,,,22,Schedule demo,New Business,2023-06-26T00:00:00
42,974,16,Catalyst Labs - Initial License,Closed Won,41876,2024-12-31,2024-12-24,Partner Referral,Closed,True,True,CompetitorE,,34,,New Business,2024-12-24T00:00:00
43,636,10,Summit Holdings - New Business,Discovery,25319,2024-12-31,2024-10-30,Inbound - Content,Pipeline,False,False,CompetitorA,,55,Technical review,New Business,2024-10-30T00:00:00
44,884,6,Summit Systems - Platform Deal,Qualification,47038,2025-07-07,2024-11-28,Product-Led,Best Case,False,False,Open Source Alternative,,4,Send proposal,New Business,2024-11-28T00:00:00
45,161,10,Horizon Enterprises - Platform Deal,Closed Lost,,2020-09-18,2020-04-20,Partner Referral,Omitted,False,True,CompetitorB,Champion Left,65,,New Business,2020-04-20T00:00:00
46,250,10,Catalyst Digital - Initial License,Proposal,33593,2025-01-19,2024-11-19,Outbound - SDR,Best Case,False,False,CompetitorE,,56,,New Business,2024-11-19T00:00:00
47,247,2,Optima Software - Initial License,Prospecting,131908,2022-09-02,2022-07-05,Outbound - SDR,Pipeline,False,False,Open Source Alternative,,45,Executive alignment,New Business,2022-07-05T00:00:00
48,38,3,Elevate Platforms - New Business,Discovery,41074,2024-10-01,2024-02-01,Inbound - Content,Pipeline,False,False,,,25,Legal review,New Business,2024-02-01T00:00:00
49,866,14,Apex Group - Platform Deal,Closed Lost,97450,2024-07-01,2024-05-15,Event,Omitted,False,True,CompetitorE,No Decision,67,,New Business,2024-05-15T00:00:00
50,646,1,Nova Dynamics - Platform Deal,Qualification,1029249,2025-02-02,2024-05-18,Outbound - SDR,Best Case,False,False,CompetitorA,,35,,New Business,2024-05-18T00:00:00
51,743,5,Apex Dynamics - New Business,Closed Lost,12920,2023-08-29,2023-07-05,Event,Omitted,False,True,CompetitorD,Champion Left,41,,New Business,2023-07-05T00:00:00
52,246,9,Summit Partners - Initial License,Qualification,143732,2023-07-01,2023-01-17,Inbound - Web,Best Case,False,False,Open Source Alternative,,43,Legal review,New Business,2023-01-17T00:00:00
53,697,13,Apex Holdings - New Business,Proposal,8773,2024-04-16,2024-01-02,Inbound - Web,Best Case,False,False,,,77,POC setup,New Business,2024-01-02T00:00:00
54,28,4,Apex Software - Platform Deal,Negotiation,10409,2021-12-08,2021-09-08,Inbound - Content,Commit,False,False,,,28,Legal review,New Business,2021-09-08T00:00:00
55,881,15,Catalyst Inc - Initial License,Prospecting,116628,2024-08-18,2024-07-10,Outbound - AE,Pipeline,False,False,CompetitorA,,19,Technical review,New Business,2024-07-10T00:00:00
56,670,6,Synergy Group - Platform Deal,Discovery,10517,2024-12-15,2024-06-26,Outbound - AE,Pipeline,False,False,,,37,Contract signing,New Business,2024-06-26T00:00:00
57,883,16,Horizon Digital - New Business,Discovery,136249,2025-07-02,2024-12-07,,Pipeline,False,False,,,47,Legal review,New Business,2024-12-07T00:00:00
58,149,3,Vertex Enterprises - Initial License,Discovery,26467,2023-07-17,2023-01-15,Partner Referral,Pipeline,False,False,CompetitorA,,13,POC setup,New Business,2023-01-15T00:00:00
59,850,1,Nova Networks - New Business,Closed Won,11856,2023-06-16,2023-02-18,Outbound - SDR,Closed,True,True,CompetitorB,,7,,New Business,2023-02-18T00:00:00
60,614,1,Catalyst Partners - New Business,Qualification,22173,2023-05-21,2023-03-16,Inbound - Web,Best Case,False,False,,,35,Schedule demo,New Business,2023-03-16T00:00:00
61,942,13,Nova Corp - New Business,Qualification,24725,2024-04-25,2024-01-18,,Best Case,False,False,CompetitorE,,65,Technical review,New Business,2024-01-18T00:00:00
62,668,2,Optima Corp - Platform Deal,Discovery,50610,2024-10-15,2024-09-13,Event,Pipeline,False,False,CompetitorB,,19,Technical review,New Business,2024-09-13T00:00:00
63,275,8,Pinnacle Technologies - Initial License,Discovery,54379,2024-08-18,2023-12-26,Event,Pipeline,False,False,CompetitorD,,47,Schedule demo,New Business,2023-12-26T00:00:00
64,514,11,Nexus Systems - New Business,Discovery,33380,2022-11-05,2022-08-02,Inbound - Content,Pipeline,False,False,,,59,Executive alignment,New Business,2022-08-02T00:00:00
65,17,1,Nova Software - Platform Deal,Proposal,132577,2025-06-30,2024-11-06,Inbound - Web,Best Case,False,False,CompetitorA,,2,Legal review,New Business,2024-11-06T00:00:00
66,372,5,Quantum Partners - New Business,Closed Won,36145,2023-09-28,2023-05-18,Event,Closed,True,True,CompetitorC,,46,,New Business,2023-05-18T00:00:00
67,463,14,Nexus Partners - Initial License,Prospecting,144385,2023-12-24,2023-08-11,Outbound - AE,Pipeline,False,False,Open Source Alternative,,43,Send proposal,New Business,2023-08-11T00:00:00
68,499,9,Catalyst Holdings - Platform Deal,Discovery,13092,2022-07-08,2022-05-21,Outbound - SDR,Pipeline,False,False,Open Source Alternative,,68,Send proposal,New Business,2022-05-21T00:00:00
69,292,2,Optima Systems - Platform Deal,Closed Lost,397645,2023-03-17,2022-12-03,Outbound - AE,Omitted,False,True,CompetitorC,Timing,10,,New Business,2022-12-03T00:00:00
70,736,3,Apex Group - New Business,Prospecting,41759,2024-02-23,2023-09-12,Inbound - Web,Pipeline,False,False,CompetitorC,,5,Schedule demo,New Business,2023-09-12T00:00:00
71,202,10,Vertex Digital - Initial License,Closed Won,8608,2023-05-13,2023-03-12,Outbound - SDR,Closed,True,True,CompetitorC,,66,,New Business,2023-03-12T00:00:00
72,745,4,Apex Group - Initial License,Closed Lost,661757,2024-09-28,2024-06-07,Event,Omitted,False,True,CompetitorC,No Decision,7,,New Business,2024-06-07T00:00:00
73,687,4,Zenith Holdings - New Business,Closed Won,83907,2024-12-31,2024-12-24,Inbound - Content,Closed,True,True,Open Source Alternative,,8,,New Business,2024-12-24T00:00:00
74,670,16,Synergy Group - Platform Deal,Closed Won,41870,2024-12-31,2024-09-19,Webinar,Closed,True,True,CompetitorA,,7,,New Business,2024-09-19T00:00:00
75,158,12,Catalyst Enterprises - Initial License,Qualification,99440,2024-10-10,2024-06-21,Partner Referral,Best Case,False,False,CompetitorA,,41,POC setup,New Business,2024-06-21T00:00:00
76,541,11,Atlas Digital - Initial License,Qualification,27602,2022-07-26,2022-05-09,Inbound - Content,Best Case,False,False,CompetitorD,,29,POC setup,New Business,2022-05-09T00:00:00
77,355,8,Pacific Networks - Initial License,Closed Lost,6958,2024-02-16,2023-12-23,Webinar,Omitted,False,True,CompetitorA,Champion Left,10,,New Business,2023-12-23T00:00:00
78,549,9,Global Solutions - Platform Deal,Qualification,113354,2023-12-25,2023-07-24,Webinar,Best Case,False,False,CompetitorC,,25,,New Business,2023-07-24T00:00:00
79,149,4,Vertex Enterprises - Platform Deal,Qualification,14778,2023-11-01,2023-04-02,Partner Referral,Best Case,False,False,CompetitorA,,43,Reference call,New Business,2023-04-02T00:00:00
80,630,10,Pacific Enterprises - Initial License,Proposal,231344,2025-07-18,2024-11-06,Outbound - AE,Best Case,False,False,,,8,Schedule demo,New Business,2024-11-06T00:00:00
81,328,14,Pinnacle Partners - New Business,Closed Lost,9426,2021-06-22,2020-12-11,Inbound - Web,Omitted,False,True,,Competitor,63,,New Business,2020-12-11T00:00:00
82,628,8,Summit Dynamics - Initial License,Proposal,581638,2025-04-25,2024-10-03,Webinar,Best Case,False,False,CompetitorE,,40,Schedule demo,New Business,2024-10-03T00:00:00
83,144,9,Quantum Partners - Initial License,Negotiation,53728,2025-02-08,2024-06-08,Outbound - SDR,Commit,False,False,CompetitorD,,59,,New Business,2024-06-08T00:00:00
84,679,16,Zenith Labs - Platform Deal,Discovery,64995,2025-04-02,2024-10-26,Event,Pipeline,False,False,,,53,Executive alignment,New Business,2024-10-26T00:00:00
85,620,13,Pacific Software - Initial License,Closed Lost,14059,2024-12-26,2024-10-28,Inbound - Content,Omitted,False,True,,No Decision,39,,New Business,2024-10-28T00:00:00
86,333,5,Optima Solutions - New Business,Prospecting,139800,2024-05-09,2023-08-14,Webinar,Pipeline,False,False,,,18,Legal review,New Business,2023-08-14T00:00:00
87,273,13,Horizon Systems - New Business,Discovery,74063,2024-07-31,2024-01-04,Product-Led,Pipeline,False,False,,,34,,New Business,2024-01-04T00:00:00
88,968,13,Vertex Partners - Platform Deal,Negotiation,27260,2024-05-31,2024-03-25,Product-Led,Commit,False,False,CompetitorA,,36,Executive alignment,New Business,2024-03-25T00:00:00
89,795,15,Pacific Technologies - New Business,Qualification,189401,2024-04-05,2023-10-25,,Best Case,False,False,CompetitorE,,4,Reference call,New Business,2023-10-25T00:00:00
90,985,11,Pacific Digital - Platform Deal,Closed Lost,34625,2024-12-31,2024-10-21,Webinar,Omitted,False,True,CompetitorD,Budget Cut,43,,New Business,2024-10-21T00:00:00
91,697,13,Apex Holdings - New Business,Prospecting,24857,2024-07-05,2024-03-13,Inbound - Content,Pipeline,False,False,CompetitorA,,69,Schedule demo,New Business,2024-03-13T00:00:00
92,803,7,Elevate Services - Platform Deal,Closed Lost,14671,2021-11-02,2021-07-20,Inbound - Web,Omitted,False,True,CompetitorB,Timing,10,,New Business,2021-07-20T00:00:00
93,404,14,Atlas Group - Platform Deal,Proposal,23647,2025-01-22,2024-08-20,Webinar,Best Case,False,False,CompetitorE,,59,,New Business,2024-08-20T00:00:00
94,146,2,Atlas Partners - Initial License,Prospecting,27110,2025-01-19,2024-12-13,Inbound - Web,Pipeline,False,False,,,29,Contract signing,New Business,2024-12-13T00:00:00
95,111,4,Synergy Partners - Initial License,Discovery,195401,2024-12-18,2024-07-09,,Pipeline,False,False,,,24,Reference call,New Business,2024-07-09T00:00:00
96,819,16,Quantum Group - New Business,Discovery,186039,2023-09-20,2023-03-12,Webinar,Pipeline,False,False,CompetitorD,,49,Legal review,New Business,2023-03-12T00:00:00
97,768,11,Vertex Services - Initial License,Discovery,28763,2022-08-17,2021-12-14,Webinar,Pipeline,False,False,CompetitorD,,49,Schedule demo,New Business,2021-12-14T00:00:00
98,524,7,Summit Networks - Initial License,Prospecting,607457,2024-06-13,2024-03-04,Webinar,Pipeline,False,False,CompetitorD,,37,Reference call,New Business,2024-03-04T00:00:00
99,825,9,Elevate Analytics - Platform Deal,Proposal,67439,2024-11-30,2024-05-07,Product-Led,Best Case,False,False,CompetitorC,,55,Legal review,New Business,2024-05-07T00:00:00
100,890,5,Quantum Digital - Initial License,Proposal,46997,2025-01-23,2024-11-16,Inbound - Content,Best Case,False,False,CompetitorD,,1,Reference call,New Business,2024-11-16T00:00:00
101,78,10,Fusion Dynamics - New Business,Negotiation,36971,2021-05-29,2020-09-18,Outbound - AE,Commit,False,False,,,2,Schedule demo,New Business,2020-09-18T00:00:00
102,485,16,Quantum Networks - Initial License,Discovery,10666,2025-05-19,2024-11-01,Webinar,Pipeline,False,False,CompetitorB,,16,,New Business,2024-11-01T00:00:00
103,232,2,Fusion Enterprises - New Business,Discovery,90319,2022-10-27,2022-07-29,Inbound - Web,Pipeline,False,False,,,16,Reference call,New Business,2022-07-29T00:00:00
104,240,2,Fusion Solutions - Platform Deal,Prospecting,124970,2024-08-19,2023-12-25,Outbound - SDR,Pipeline,False,False,,,36,Executive alignment,New Business,2023-12-25T00:00:00
105,511,5,Summit Corp - Platform Deal,Prospecting,18707,2024-11-12,2024-10-02,Partner Referral,Pipeline,False,False,,,6,Contract signing,New Business,2024-10-02T00:00:00
106,669,3,Summit Technologies - Platform Deal,Proposal,59814,2024-11-04,2024-09-05,Webinar,Best Case,False,False,CompetitorE,,28,Technical review,New Business,2024-09-05T00:00:00
107,830,3,Elevate Technologies - New Business,Discovery,196225,2024-09-09,2024-04-07,Inbound - Content,Pipeline,False,False,Open Source Alternative,,19,Executive alignment,New Business,2024-04-07T00:00:00
108,805,16,Catalyst Services - Platform Deal,Closed Lost,40672,2024-12-31,2024-10-26,Inbound - Web,Omitted,False,True,Open Source Alternative,Timing,43,,New Business,2024-10-26T00:00:00
109,584,8,Vertex Analytics - Platform Deal,Qualification,12157,2024-07-09,2024-03-13,Outbound - AE,Best Case,False,False,Open Source Alternative,,28,POC setup,New Business,2024-03-13T00:00:00
110,576,2,Zenith Corp - Initial License,Closed Won,599254,2022-12-20,2022-08-18,Inbound - Content,Closed,True,True,CompetitorE,,24,,New Business,2022-08-18T00:00:00
111,220,8,Quantum Digital - Initial License,Discovery,47146,2024-07-25,2024-06-15,Event,Pipeline,False,False,,,39,Legal review,New Business,2024-06-15T00:00:00
112,580,3,Elevate Services - New Business,Prospecting,167080,2025-02-16,2024-12-04,Partner Referral,Pipeline,False,False,CompetitorB,,29,Schedule demo,New Business,2024-12-04T00:00:00
113,211,8,Vanguard Networks - Initial License,Discovery,24219,2025-04-02,2024-09-21,Webinar,Pipeline,False,False,Open Source Alternative,,53,Legal review,New Business,2024-09-21T00:00:00
114,309,12,Apex Software - Platform Deal,Qualification,38558,2024-06-07,2023-11-11,Outbound - AE,Best Case,False,False,CompetitorC,,18,Reference call,New Business,2023-11-11T00:00:00
115,447,15,Apex Group - Initial License,Proposal,69280,2025-01-03,2024-10-19,Inbound - Web,Best Case,False,False,CompetitorB,,42,Schedule demo,New Business,2024-10-19T00:00:00
116,535,5,Vertex Labs - New Business,Prospecting,69772,2022-11-07,2022-05-04,Partner Referral,Pipeline,False,False,Open Source Alternative,,6,Schedule demo,New Business,2022-05-04T00:00:00
117,492,7,Quantum Partners - Platform Deal,Prospecting,136455,2023-07-18,2023-03-03,Outbound - AE,Pipeline,False,False,CompetitorA,,27,Technical review,New Business,2023-03-03T00:00:00
118,674,9,Fusion Corp - New Business,Proposal,24707,2025-06-01,2024-11-16,Inbound - Content,Best Case,False,False,CompetitorE,,22,,New Business,2024-11-16T00:00:00
66,184,11,Optima Networks - Initial License,Discovery,457080,2025-04-16,2024-12-10,Outbound - AE,Pipeline,False,False,Open Source Alternative,,41,Legal review,New Business,2024-12-10T00:00:00
120,431,2,Vertex Systems - New Business,Prospecting,762808,2024-06-15,2024-05-12,Outbound - AE,Pipeline,False,False,,,43,,New Business,2024-05-12T00:00:00
21,509,13,Optima Digital - Platform Deal,Proposal,38093,2024-03-01,2023-10-04,Inbound - Content,Best Case,False,False,CompetitorE,,73,Send proposal,New Business,2023-10-04T00:00:00
122,602,10,Atlas Digital - Platform Deal,Discovery,44520,2022-10-13,2022-06-29,Inbound - Content,Pipeline,False,False,,,42,Reference call,New Business,2022-06-29T00:00:00
123,289,15,Pinnacle Solutions - Initial License,Prospecting,46940,2021-12-27,2021-11-18,Event,Pipeline,False,False,CompetitorE,,21,Send proposal,New Business,2021-11-18T00:00:00
124,57,8,Velocity Platforms - Initial License,Discovery,782546,2025-06-11,2024-10-19,Partner Referral,Pipeline,False,False,CompetitorD,,56,Reference call,New Business,2024-10-19T00:00:00
125,47,14,Acme Digital - Platform Deal,Qualification,73521,2024-06-16,2024-05-13,Inbound - Content,Best Case,False,False,,,21,Technical review,New Business,2024-05-13T00:00:00
126,851,11,Vertex Services - Initial License,Proposal,168412,2025-01-14,2024-12-06,Outbound - AE,Best Case,False,False,,,36,Schedule demo,New Business,2024-12-06T00:00:00
127,347,2,Quantum Group - New Business,Discovery,9991,2024-06-30,2024-05-09,,Pipeline,False,False,CompetitorE,,36,POC setup,New Business,2024-05-09T00:00:00
128,613,10,Apex Networks - Initial License,Prospecting,32857,2025-02-02,2024-11-12,Webinar,Pipeline,False,False,CompetitorC,,47,Executive alignment,New Business,2024-11-12T00:00:00
129,143,12,Atlas Analytics - New Business,Qualification,554519,2023-06-16,2023-05-02,Partner Referral,Best Case,False,False,CompetitorE,,31,Reference call,New Business,2023-05-02T00:00:00
130,524,12,Summit Networks - New Business,Closed Lost,396856,2024-06-30,2024-05-02,Event,Omitted,False,True,CompetitorA,Timing,51,,New Business,2024-05-02T00:00:00
76,807,2,Catalyst Partners - Platform Deal,Discovery,12279,2022-11-23,2022-09-19,Inbound - Content,Pipeline,False,False,CompetitorE,,25,POC setup,New Business,2022-09-19T00:00:00
132,756,2,Pinnacle Corp - Initial License,Discovery,14171,2022-01-28,2021-11-22,Event,Pipeline,False,False,CompetitorC,,38,Contract signing,New Business,2021-11-22T00:00:00
133,89,13,Zenith Inc - New Business,Closed Won,91087,2023-12-26,2023-09-19,Inbound - Web,Closed,True,True,CompetitorD,,15,,New Business,2023-09-19T00:00:00
134,581,8,Synergy Labs - Initial License,Negotiation,38973,2024-03-30,2024-01-23,Outbound - AE,Commit,False,False,CompetitorA,,47,Technical review,New Business,2024-01-23T00:00:00
135,371,7,Horizon Partners - Initial License,Qualification,47937,2024-10-07,2024-08-10,Webinar,Best Case,False,False,CompetitorE,,5,Contract signing,New Business,2024-08-10T00:00:00
136,130,5,Nova Technologies - Initial License,Qualification,5326,2025-05-18,2024-12-09,Product-Led,Best Case,False,False,CompetitorC,,12,POC setup,New Business,2024-12-09T00:00:00
137,631,2,Optima Services - New Business,Closed Lost,47191,2024-11-05,2024-07-03,Outbound - AE,Omitted,False,True,CompetitorA,Competitor,25,,New Business,2024-07-03T00:00:00
138,942,13,Nova Corp - New Business,Qualification,24117,2024-12-01,2024-09-26,Outbound - SDR,Best Case,False,False,Open Source Alternative,,54,Reference call,New Business,2024-09-26T00:00:00
139,991,10,Atlas Digital - New Business,Discovery,16063,2021-06-11,2021-05-09,Inbound - Content,Pipeline,False,False,,,58,Schedule demo,New Business,2021-05-09T00:00:00
140,267,15,Pinnacle Systems - New Business,Qualification,81225,2024-10-13,2024-05-27,Webinar,Best Case,False,False,CompetitorB,,5,Technical review,New Business,2024-05-27T00:00:00
141,313,1,Optima Inc - Initial License,Discovery,27202,2025-07-04,2024-10-27,Event,Pipeline,False,False,Open Source Alternative,,34,Technical review,New Business,2024-10-27T00:00:00
142,244,2,Optima Technologies - New Business,Closed Lost,833938,2024-05-25,2024-01-27,Product-Led,Omitted,False,True,CompetitorE,Budget Cut,41,,New Business,2024-01-27T00:00:00
143,262,1,Fusion Enterprises - Platform Deal,Closed Won,45109,2024-03-22,2023-10-11,,Closed,True,True,Open Source Alternative,,19,,New Business,2023-10-11T00:00:00
144,364,1,Nova Services - Initial License,Discovery,33608,2025-04-18,2024-10-23,Inbound - Content,Pipeline,False,False,CompetitorA,,10,Schedule demo,New Business,2024-10-23T00:00:00
145,578,12,Pinnacle Inc - Platform Deal,Qualification,23232,2025-02-24,2024-10-06,Product-Led,Best Case,False,False,Open Source Alternative,,69,Contract signing,New Business,2024-10-06T00:00:00
146,27,9,Optima Systems - Initial License,Prospecting,39440,2024-02-19,2023-08-04,Inbound - Web,Pipeline,False,False,Open Source Alternative,,36,Technical review,New Business,2023-08-04T00:00:00
147,80,2,Global Enterprises - Initial License,Discovery,654606,2024-09-19,2024-04-24,Inbound - Content,Pipeline,False,False,,,35,Technical review,New Business,2024-04-24T00:00:00
148,616,9,Vanguard Dynamics - Platform Deal,Negotiation,45116,2025-01-14,2024-11-02,Inbound - Content,Commit,False,False,CompetitorD,,52,,New Business,2024-11-02T00:00:00
149,278,5,Horizon Enterprises - New Business,Proposal,9326,2023-02-06,2022-12-14,Partner Referral,Best Case,False,False,,,42,,New Business,2022-12-14T00:00:00
150,859,3,Acme Corp - Initial License,Prospecting,313258,2024-11-23,2024-10-10,Outbound - SDR,Pipeline,False,False,,,14,Technical review,New Business,2024-10-10T00:00:00
151,892,5,Quantum Services - Platform Deal,Proposal,5653,2023-10-17,2023-08-04,Outbound - SDR,Best Case,False,False,CompetitorC,,2,Contract signing,New Business,2023-08-04T00:00:00
152,288,16,Horizon Dynamics - Initial License,Discovery,153250,2025-02-11,2024-06-06,Webinar,Pipeline,False,False,,,49,Executive alignment,New Business,2024-06-06T00:00:00
153,912,15,Atlas Partners - Initial License,Closed Lost,84109,2024-08-25,2024-06-08,Webinar,Omitted,False,True,,Lost to Status Quo,29,,New Business,2024-06-08T00:00:00
154,605,3,Quantum Corp - New Business,Proposal,28750,2024-10-13,2024-05-01,Outbound - SDR,Best Case,False,False,Open Source Alternative,,11,Technical review,New Business,2024-05-01T00:00:00
155,402,3,Apex Solutions - New Business,Proposal,23454,2025-02-26,2024-09-14,Event,Best Case,False,False,Open Source Alternative,,20,Technical review,New Business,2024-09-14T00:00:00
156,150,10,Atlas Solutions - Initial License,Closed Lost,126979,2024-12-31,2024-12-17,Event,Omitted,False,True,,No Decision,5,,New Business,2024-12-17T00:00:00
157,138,6,Quantum Partners - New Business,Negotiation,42940,2025-04-29,2024-08-21,Event,Commit,False,False,CompetitorA,,50,POC setup,New Business,2024-08-21T00:00:00
